combo,size,method,weight_tag,fold_year,num_days,mean_return,cumulative_return,sharpe,ic,rank_ic,positive_years
dlinear+itransformer+patchtst,3,mean,equal,-1,2340,0.013217270634865295,-0.22220946694206145,0.7191497109539057,0.0005611854330077439,-0.03151249848297835,8.0
timemixer+tsmixer,2,top1_gap,selector,-1,2340,0.013208424629464992,-0.9637099627158664,0.6698123464750221,0.0021310306310232973,-0.025980954596415296,7.0
itransformer+patchtst+timemixer+wpmixer,4,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.2, 0.4, 0.2, 0.2]}",-1,2340,0.013180638355698654,1.646616588554294,0.7206535491518575,-0.0010611818328649806,-0.033136647155088426,8.0
itransformer+patchtst+timesnet+wpmixer,4,mean,equal,-1,2340,0.013060095541380623,-0.675675838085551,0.7086394527872002,0.0015007976327844211,-0.03064899752178158,9.0
dlinear+patchtst+tsmixer+wpmixer,4,mean,equal,-1,2340,0.013041508122786077,-0.5279105196849578,0.7277082853999082,7.213981165730721e-05,-0.03162499698267079,9.0
itransformer+patchtst+timesnet+wpmixer,4,zscore_mean,equal,-1,2340,0.012991669441122159,-0.7356462244890933,0.7049512517953141,0.001566141879345068,-0.030779034512840402,8.0
patchtst+wpmixer,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.6, 0.4]}",-1,2340,0.01292503809133906,-0.3540565366475137,0.7251827474593441,-0.0012833605758966022,-0.032383806153398066,9.0
itransformer+patchtst,2,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.4, 0.6]}",-1,2340,0.012924359467738983,3.8938024623323253,0.7154375261854039,-0.0005955448338102059,-0.031905519406117196,8.0
itransformer+tsmixer,2,top1_gap,selector,-1,2340,0.012923593928050283,0.4280087198156337,0.7083546162817314,0.003378387932301075,-0.021583630778039556,8.0
dlinear+patchtst,2,top1_gap,selector,-1,2340,0.012877315235347667,-0.1745226089419586,0.7237316874463273,-0.0017249436613409274,-0.031654293517502416,8.0
dlinear+itransformer+timesnet+wpmixer,4,mean,equal,-1,2340,0.012859490173351189,-0.7646770748530425,0.6988888336665512,0.002425575023231245,-0.029139792148731792,6.0
itransformer+patchtst+timesnet+wpmixer,4,weighted_rank,"{""dominant"": ""wpmixer"", ""weights"": [0.2, 0.2, 0.2, 0.4]}",-1,2340,0.012839075475366604,-0.09367484823447592,0.6997228036806615,0.00028145598972762815,-0.031247162315390348,7.0
itransformer+timesnet,2,top1_gap,selector,-1,2340,0.012822954540938406,-0.6655202663468549,0.699917013705406,0.0037739823465208293,-0.023761451185099734,9.0
dlinear+itransformer+timesnet+tsmixer,4,mean,equal,-1,2340,0.012796137462711589,0.14148925564682413,0.7024870214281169,0.00431242869595674,-0.025350833897926077,6.0
