date,n,n_tradable,top1_code,top1_true,top1_pred_gap,best_true_all,best_true_tradable,regret_vs_best_tradable,top3_mean,top5_mean,score_std,score_max_prob,score_entropy,hit_top1_in_true10,hit_top1_in_true20,hit_top1_in_true50,overlap_pred10_true10,overlap_pred10_true20,overlap_pred10_true50,overlap_pred20_true10,overlap_pred20_true20,overlap_pred20_true50,overlap_pred50_true10,overlap_pred50_true20,overlap_pred50_true50
2024-05-21,2796,2795,SH600198,-0.017142856,0.004078139999999952,0.1925974,0.1925974,0.209740256,-0.012359496,0.0382417068,0.004290748807454878,0.00036547391539532253,7.935935883877935,0,0,0,1,2,4,1,2,4,1,2,5
2024-05-22,2795,2795,SZ000889,-0.035714287,0.0015413699999999864,0.18442415,0.18442415,0.22013843700000002,-0.05480309666666666,-0.010525059399999998,0.004323542484163888,0.0003654093828069673,7.935578024131286,0,0,0,1,1,1,1,1,1,3,4,4
2024-05-23,2789,2788,SZ000889,0.14285715,0.0007927999999999269,0.16975537,0.16975537,0.02689822,0.022837760666666665,-0.008294506800000002,0.004060339062248141,0.00036611166136261953,7.933430129812471,1,1,1,1,1,1,1,1,2,2,2,4
2024-05-24,2791,2791,SZ000889,0.032407407,0.0068923499999999915,0.2581888,0.2581888,0.225781393,-0.002636736333333334,0.0329617002,0.004177591656914066,0.0003691073920930584,7.934146486746817,0,0,0,2,2,3,2,2,3,2,4,6
2024-05-27,2789,2788,SZ000889,0.10986547,0.008318009999999987,0.19804287,0.19804287,0.0881774,-0.043898173333333325,-0.1279982728,0.004116552610976815,0.0003690467227778313,7.933429897790085,0,1,1,2,3,3,4,5,6,5,7,9
2024-05-28,2786,2786,SZ000889,0.030303031,0.005350960000000016,0.25535882,0.25535882,0.22505578899999998,-0.11868265266666667,-0.0864989632,0.004200167344837522,0.00037028853624598027,7.932353311178655,0,0,0,0,0,0,2,2,2,2,2,4
2024-05-29,2776,2775,SZ000889,-0.07647059,0.01734990000000003,0.23340471,0.23340471,0.30987529999999996,-0.09038522333333333,-0.040625692000000005,0.004247616590803983,0.000377239582564766,7.928757269377404,0,0,0,0,0,1,1,1,2,1,2,4
2024-05-30,2767,2767,SZ000793,-0.4460094,0.016322049999999977,0.35436863,0.35436863,0.8003780300000001,-0.16200313333333333,-0.14435353999999997,0.004341662636969883,0.00037900166617074103,7.925509518150194,0,0,0,3,3,3,3,4,4,3,5,7
2024-05-31,2749,2748,SZ000793,0.34745762,0.009196399999999993,0.34745762,0.34745762,0.0,0.040600965666666676,0.0009864086000000022,0.004270711242687044,0.0003756834370106739,7.918983346597338,1,1,1,2,2,2,3,3,3,5,5,5
2024-06-03,2746,2744,SH600198,-0.16197184,0.0020880399999999577,1.2767296,0.3714609,0.53343274,0.024784643333333328,0.013040103399999997,0.004039302797991834,0.00037851366394449587,7.9178924078321735,0,0,0,3,3,3,3,3,3,5,6,6
2024-06-04,2742,2740,SH600198,0.10084034,0.009168040000000044,0.13423914,0.13423914,0.033398800000000006,0.028430076666666665,0.0079845866,0.004128664546238748,0.0003743862283044171,7.91643432244647,1,1,1,1,3,3,1,3,5,2,4,6
2024-06-05,2740,2739,SZ000622,-0.13333334,0.00436375,0.12826087,0.12826087,0.26159421,-0.17200289,-0.139740314,0.004249886420122406,0.00037839293510404944,7.915704135310259,0,0,0,1,1,1,1,2,2,2,3,4
2024-06-06,2746,2745,SH600198,0.03846154,0.0035844999999999905,0.33830845,0.27086008,0.23239854,0.09380408000000001,0.04211317000000001,0.004527776517531302,0.0003747626583253391,7.917890313398269,0,0,0,2,4,6,4,6,9,4,6,12
2024-06-07,2735,2732,SH600198,0.16666667,0.00470920000000008,0.27509293,0.16666667,0.0,0.027294331333333328,0.0007125639999999985,0.0048745446871453785,0.0003790731375538821,7.9138747993963605,1,1,1,3,3,3,4,4,4,4,5,5
2024-06-11,2732,2728,SH600198,0.007936508,0.007964230000000017,0.23760933,0.1884307,0.180494192,0.07637902266666667,0.0631804614,0.004698260748104866,0.0003794196859105846,7.912778151563501,0,0,0,4,5,7,4,6,8,4,7,13
2024-06-12,2722,2717,SH600198,0.03937008,0.0018886999999999654,0.3244552,0.3244552,0.28508511999999997,-0.06571240333333334,-0.059339755400000006,0.004929719882911519,0.0003786220472685909,7.9091099996120615,0,0,1,2,2,3,3,3,4,4,7,10
