strategy,combo,size,variant_kind,variant_method,scenario,num_days,gross_mean_return,gross_cumulative_return,gross_sharpe,mean_return,cumulative_return,sharpe,switch_count,same_code_streak_days,avg_entry_cost_bps,avg_exit_cost_bps
timemixer+timesnet+dlinear_a01::combo::zscore_mean,timemixer+timesnet+dlinear_a01,3,combo,zscore_mean,base,2340,0.010788462750491452,-0.9929787399948153,0.5912546820211005,0.009227507000411521,-0.9998120099348372,0.5065362349497251,1722,617,5.890598290598291,9.572222222222223
itransformer+wpmixer+timesnet+dlinear_a01::combo::zscore_mean,itransformer+wpmixer+timesnet+dlinear_a01,4,combo,zscore_mean,base,2340,0.010632959140423079,-0.9973765288310336,0.5806946179619935,0.009219610189389056,-0.9999018958058024,0.504070985205026,1563,776,5.347008547008547,8.688888888888888
"itransformer+patchtst+wpmixer::weighted_rank::{""dominant"": ""patchtst"", ""weights"": [0.25, 0.5, 0.25]}",itransformer+patchtst+wpmixer,3,weighted_rank,"{""dominant"": ""patchtst"", ""weights"": [0.25, 0.5, 0.25]}",base,2340,0.009801760052182175,-0.3577803275541206,0.6255610290133462,0.009200278948220507,-0.8415318031904973,0.5872293605731346,665,1674,2.276923076923077,3.7
timemixer+timesnet::combo::rank_mean,timemixer+timesnet,2,combo,rank_mean,base,2340,0.010026537844301962,-0.9980048435316419,0.5535697465626083,0.009156895708423556,-0.9997345680526913,0.5060077401791739,959,1380,3.282051282051282,5.333333333333333
itransformer+timemixer::combo::zscore_mean,itransformer+timemixer,2,combo,zscore_mean,base,2340,0.009850585351542695,-0.9987730699063117,0.5431428366675911,0.009148961391951881,-0.9997627394906708,0.5044674047375458,781,1558,2.6735042735042733,4.344444444444444
itransformer+timemixer::combo::mean,itransformer+timemixer,2,combo,mean,base,2340,0.009828030089771114,-0.9990656429204636,0.5412273935691544,0.009133690414333291,-0.9998162536511394,0.5030013284068034,773,1566,2.646153846153846,4.3
"wpmixer+timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",wpmixer+timemixer+timesnet,3,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",base,2340,0.009826432700787808,-0.9996173972390313,0.5365685083561531,0.009082920077834993,-0.9999326883672528,0.49599853642638075,826,1513,2.8273504273504275,4.594444444444444
itransformer+patchtst+timemixer+dlinear_a01::combo::mean,itransformer+patchtst+timemixer+dlinear_a01,4,combo,mean,base,2340,0.009967856794042735,-0.9977842087868853,0.5517359593717381,0.009059615722179013,-0.9997312465925924,0.5020088540690837,1003,1336,3.4324786324786323,5.5777777777777775
patchtst+dlinear_a01::gated::gated_q50_right,patchtst+dlinear_a01,2,gated,gated_q50_right,base,2340,0.010403939741042735,-0.5955440929665554,0.6464319763037936,0.008997099142132151,-0.9844566264795358,0.560079743376028,1550,789,5.302564102564102,8.616666666666667
patchtst+wpmixer+timemixer+dlinear_a01::combo::mean,patchtst+wpmixer+timemixer+dlinear_a01,4,combo,mean,base,2340,0.00969428607424359,-0.9779137669844484,0.6023160217447467,0.008870626013587903,-0.9967361956240425,0.5517701355228883,909,1430,3.111111111111111,5.055555555555555
wpmixer+timemixer+dlinear_a01::combo::zscore_mean,wpmixer+timemixer+dlinear_a01,3,combo,zscore_mean,base,2340,0.010437714356025639,-0.9972556889213545,0.5712463149656143,0.008853302049411668,-0.9999304291134248,0.4853301849277929,1748,591,5.97948717948718,9.716666666666667
itransformer+patchtst+timesnet+dlinear_a01::combo::mean,itransformer+patchtst+timesnet+dlinear_a01,4,combo,mean,base,2340,0.009822044962393164,-0.9987574412901464,0.5434037033039033,0.008806571289248465,-0.9998828778353516,0.4877508812332909,1123,1216,3.842735042735043,6.2444444444444445
timemixer+timesnet::gated::gated_q50_right,timemixer+timesnet,2,gated,gated_q50_right,base,2340,0.009820669292579085,-0.9820967285172689,0.6954140485463323,0.008796018655246603,-0.9983579296931856,0.6231954865729716,1136,1203,3.887179487179487,6.316666666666666
wpmixer+timemixer::selector::top1_gap,wpmixer+timemixer,2,selector,top1_gap,base,2340,0.009358534669138677,-0.9994292337292036,0.5326566397437746,0.00877450165417627,-0.9998546534647597,0.49955358317760035,650,1689,2.2256410256410257,3.6166666666666667
itransformer+timemixer+dlinear_a01::combo::mean,itransformer+timemixer+dlinear_a01,3,combo,mean,base,2340,0.009643047411017094,-0.9982134234053387,0.5353856668559489,0.008662990223577128,-0.9998172184826996,0.4814932006746998,1084,1255,3.7094017094017095,6.027777777777778
"itransformer+timemixer::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",itransformer+timemixer,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.4, 0.6]}",base,2340,0.009321938429046519,-0.9984332030153319,0.5171457277977153,0.008619359533736286,-0.9996982874904996,0.478173264308431,783,1556,2.68034188034188,4.355555555555555
wpmixer+dlinear_a01::selector::top1_gap,wpmixer+dlinear_a01,2,selector,top1_gap,base,2340,0.009520353088089744,-0.9739970792486131,0.5944189764174589,0.00847117269140033,-0.9977323245999031,0.5295418263897497,1160,1179,3.9692307692307693,6.45
patchtst+timesnet::gated::gated_q50_right,patchtst+timesnet,2,gated,gated_q50_right,base,2340,0.009473861676059687,-0.9917325944370573,0.6713620003976766,0.008466735040753265,-0.99920751397348,0.6003444662125654,1115,1224,3.8153846153846156,6.2
patchtst+wpmixer+dlinear_a01::combo::zscore_mean,patchtst+wpmixer+dlinear_a01,3,combo,zscore_mean,base,2340,0.0099656392665,-0.998838022191262,0.5471098276579796,0.008431376813036207,-0.9999668645083043,0.46364739123314874,1692,647,5.788034188034188,9.405555555555555
"itransformer+timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",itransformer+timemixer+timesnet,3,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.25, 0.5, 0.25]}",base,2340,0.009194207757752372,-0.9990634194843775,0.508882892328338,0.008390322504525496,-0.9998553526075372,0.4647997064951952,888,1451,3.039316239316239,4.938888888888889
"timemixer+timesnet::weighted_rank::{""dominant"": ""timemixer"", ""weights"": [0.6, 0.4]}",timemixer+timesnet,2,weighted_rank,"{""dominant"": ""timemixer"", ""weights"": [0.6, 0.4]}",base,2340,0.009110053582051187,-0.9998042978772754,0.5024199170619692,0.00827660004875893,-0.9999716813360824,0.45686480666030593,919,1420,3.1452991452991452,5.111111111111111
timemixer+dlinear_a01::selector::top1_gap,timemixer+dlinear_a01,2,selector,top1_gap,base,2340,0.00904465942977778,-0.9997318509716676,0.4992858535828376,0.008071907851340515,-0.9999721596597362,0.44606725092148386,1077,1262,3.6854700854700853,5.988888888888889
wpmixer+dlinear_a01::gated::gated_q50_left,wpmixer+dlinear_a01,2,gated,gated_q50_left,base,2340,0.008964146056371794,-0.9866225353177989,0.5632496535515616,0.008003414994687376,-0.9985696330361203,0.5034786062226613,1063,1276,3.6376068376068376,5.911111111111111
wpmixer+timesnet::gated::gated_q50_right,wpmixer+timesnet,2,gated,gated_q50_right,base,2340,0.00898530913512179,-0.9968332388812573,0.6377481358607088,0.007908949357277713,-0.9997423318475277,0.5616751905656487,1193,1146,4.082051282051282,6.633333333333334
wpmixer+dlinear_a01::combo::mean,wpmixer+dlinear_a01,2,combo,mean,base,2340,0.00885831522459829,-0.9962192571398782,0.5516766231402941,0.0078064852346960405,-0.9996723589396057,0.4867562114119363,1163,1176,3.9794871794871796,6.466666666666667
timemixer+dlinear_a01::gated::gated_q50_right,timemixer+dlinear_a01,2,gated,gated_q50_right,base,2340,0.009198157947410258,-0.946005314085176,0.5793231083254274,0.00775766806968347,-0.9980842043649445,0.48954686608321557,1588,751,5.432478632478633,8.827777777777778
timemixer+dlinear_a01::combo::mean,timemixer+dlinear_a01,2,combo,mean,base,2340,0.008732641133311965,-0.9999097532644393,0.4813098024861732,0.007738126494683762,-0.9999910158019396,0.42718128905765756,1097,1242,3.753846153846154,6.1
patchtst+wpmixer+dlinear_a01::combo::mean,patchtst+wpmixer+dlinear_a01,3,combo,mean,base,2340,0.008520318767927349,-0.9985384232716132,0.5303714229412311,0.007701978258174144,-0.9997821918185014,0.4799760393618647,905,1434,3.0974358974358975,5.033333333333333
timemixer+dlinear_a01::gated::gated_q50_left,timemixer+dlinear_a01,2,gated,gated_q50_left,base,2340,0.008581974718367521,-0.9998046965382235,0.4765799996763628,0.007684650018304704,-0.9999758086373356,0.42720666623753606,993,1346,3.398290598290598,5.522222222222222
patchtst+timemixer+dlinear_a01::combo::zscore_mean,patchtst+timemixer+dlinear_a01,3,combo,zscore_mean,base,2340,0.009204365595017094,-0.999837751202609,0.5039864625944962,0.00765032363814097,-0.9999956007719312,0.41958873198110874,1716,623,5.87008547008547,9.53888888888889
timesnet+dlinear_a01::gated::gated_q50_right,timesnet+dlinear_a01,2,gated,gated_q50_right,base,2340,0.00912203852861111,1.378251329981325,0.7813787397695946,0.00747829036112214,-0.9479554552198899,0.6411916468686908,1818,521,6.218803418803419,10.105555555555556
patchtst+dlinear_a01::gated::gated_q50_left,patchtst+dlinear_a01,2,gated,gated_q50_left,base,2340,0.00830937470784188,-0.9980311745819077,0.5192473917598441,0.007470135403955344,-0.999718674381683,0.4676344329298927,925,1414,3.1658119658119657,5.144444444444445
